year,month,day,catch_scrubbed,trips_scrubbed
2000,1,1,3803,13
2000,1,2,7267,23
2000,1,3,9015,29
2000,1,4,5948,25
2000,1,5,6131,26
2000,1,6,9925,32
2000,1,7,7265,37
2000,1,8,4799,24
2000,1,9,3797,19
2000,1,10,14116,26
2000,1,11,2231,20
2000,1,12,1848,19
2000,1,13,1550,15
2000,1,14,3053,13
2000,1,15,1853,8
2000,1,16,2864,11
2000,1,17,3344,14
2000,1,18,4965,18
2000,1,19,4440,18
2000,1,20,13056,20
2000,1,21,2233,8
2000,1,22,284.9,< 4
2000,1,23,1580,6
2000,1,24,1176,7
2000,1,25,2536,8
2000,1,26,1639,5
2000,1,27,788.1,4
2000,1,28,518.1,4
2000,1,29,3438,< 4
2000,1,30,615.7,< 4
2000,1,31,201.5,< 4
2000,2,1,< 200,< 4
2000,2,2,474.6,5
2000,2,3,3638,5
2000,2,4,272.1,< 4
2000,2,5,272.1,< 4
2000,2,6,268.3,< 4
2000,2,7,738,< 4
2000,2,8,815.7,< 4
2000,2,9,268.3,< 4
2000,2,10,333.8,< 4
2000,2,11,< 200,< 4
2000,2,12,0,0
2000,2,13,0,0
2000,2,14,0,0
2000,2,15,< 200,< 4
2000,2,16,< 200,< 4
2000,2,17,< 200,< 4
2000,2,18,1984,< 4
2000,2,19,0,0
2000,2,20,< 200,< 4
2000,2,21,< 200,< 4
2000,2,22,< 200,< 4
2000,2,23,< 200,< 4
2000,2,24,< 200,6
2000,2,25,< 200,5
2000,2,26,0,0
2000,2,27,362.5,4
2000,2,28,457.5,8
2000,2,29,473,9
2000,3,1,488,11
2000,3,2,498,8
2000,3,3,304,5
2000,3,4,0,0
2000,3,5,< 200,4
2000,3,6,< 200,5
2000,3,7,403.5,9
2000,3,8,218,8
2000,3,9,659.3,11
2000,3,10,258.3,5
2000,3,11,< 200,< 4
2000,3,12,284.8,5
2000,3,13,355.8,9
2000,3,14,345.8,12
2000,3,15,436.3,12
2000,3,16,554.8,11
2000,3,17,< 200,< 4
2000,3,18,< 200,< 4
2000,3,19,< 200,< 4
2000,3,20,< 200,< 4
2000,3,21,237,5
2000,3,22,661,10
2000,3,23,< 200,< 4
2000,3,24,237,5
2000,3,25,< 200,< 4
2000,3,26,616.5,11
2000,3,27,1548,23
2000,3,28,1679,21
2000,3,29,735.8,14
2000,3,30,1383,22
2000,3,31,1219,20
2000,4,1,0,0
2000,4,2,370,9
2000,4,3,1453,30
2000,4,4,691.6,12
2000,4,5,1007,22
2000,4,6,1490,27
2000,4,7,464.8,7
2000,4,8,< 200,< 4
2000,4,9,367.5,8
2000,4,10,1518,30
2000,4,11,1203,26
2000,4,12,982.7,21
2000,4,13,< 200,8
2000,4,14,< 200,< 4
2000,4,15,258,< 4
2000,4,16,1047,17
2000,4,17,1534,37
2000,4,18,856.5,26
2000,4,19,472.2,9
2000,4,20,815.2,23
2000,4,21,1405,30
2000,4,22,< 200,< 4
2000,4,23,512,16
2000,4,24,935.5,30
2000,4,25,361.3,11
2000,4,26,622.6,14
2000,4,27,843.1,18
2000,4,28,1488,14
2000,4,29,247.8,4
2000,4,30,274,11
2000,5,1,1415,31
2000,5,2,632.5,19
2000,5,3,1112,25
2000,5,4,1304,31
2000,5,5,1039,25
2000,5,6,< 200,< 4
2000,5,7,1292,25
2000,5,8,1752,39
2000,5,9,600.7,18
2000,5,10,1100,12
2000,5,11,1774,30
2000,5,12,1973,33
2000,5,13,372.3,5
2000,5,14,1986,25
2000,5,15,3134,42
2000,5,16,3072,37
2000,5,17,2600,39
2000,5,18,3434,40
2000,5,19,527,10
2000,5,20,312,4
2000,5,21,1806,27
2000,5,22,6043,46
2000,5,23,2713,39
2000,5,24,3858,37
2000,5,25,3449,34
2000,5,26,2512,24
2000,5,27,1950,14
2000,5,28,3195,43
2000,5,29,11054,52
2000,5,30,5067,25
2000,5,31,3571,35
2000,6,1,10203,56
2000,6,2,7947,57
2000,6,3,2386,14
2000,6,4,5246,44
2000,6,5,7759,60
2000,6,6,6423,58
2000,6,7,7639,53
2000,6,8,5387,46
2000,6,9,4745,30
2000,6,10,1545,16
2000,6,11,5011,45
2000,6,12,7024,65
