week,year,diesel_price
12,1994,111.9
13,1994,111.5
14,1994,112.2
15,1994,111.9
16,1994,111.5
17,1994,111.6
18,1994,111.3
19,1994,111.2
20,1994,110.9
21,1994,110.8
22,1994,110.6
23,1994,110.9
24,1994,110.6
25,1994,111.2
26,1994,111.4
27,1994,111.7
28,1994,111.7
29,1994,111.7
30,1994,111.8
31,1994,112
32,1994,112.7
33,1994,112.7
34,1994,112.5
35,1994,112
36,1994,112.2
37,1994,111.7
38,1994,111.7
39,1994,111.3
40,1994,111.2
41,1994,111.1
42,1994,111.2
43,1994,111.6
44,1994,112.6
45,1994,112.6
46,1994,112.8
47,1994,112.8
48,1994,112.4
49,1994,112.4
50,1994,111.7
51,1994,111.4
52,1994,111.3
1,1995,111.5
2,1995,111.2
3,1995,111.4
4,1995,111.2
5,1995,111
6,1995,110.1
7,1995,110.3
8,1995,110.2
9,1995,110.1
10,1995,109.7
11,1995,109.4
12,1995,108.8
13,1995,109.4
14,1995,109
15,1995,109.5
16,1995,109.9
17,1995,110.7
18,1995,111.3
19,1995,112
20,1995,112.3
21,1995,112
22,1995,112.8
23,1995,112
24,1995,112
25,1995,111.7
26,1995,111.6
27,1995,111.2
28,1995,110.6
29,1995,110.2
30,1995,110
31,1995,109.5
32,1995,109.9
33,1995,110
34,1995,110.1
35,1995,110.1
36,1995,110.7
37,1995,110.7
38,1995,110.7
39,1995,110.6
40,1995,110.4
41,1995,110
42,1995,110.4
43,1995,110.2
44,1995,109.8
45,1995,110
46,1995,110
47,1995,109.8
48,1995,110.3
49,1995,110.1
50,1995,110.9
51,1995,112
52,1995,113.1
0,1996,114.7
1,1996,114.9
2,1996,115.9
3,1996,115.2
4,1996,114.3
5,1996,114.1
6,1996,114.2
7,1996,116.8
8,1996,118.2
9,1996,119
10,1996,118.3
11,1996,118
12,1996,123.1
13,1996,123.5
14,1996,125.1
15,1996,129.9
16,1996,129.7
17,1996,126.9
18,1996,127.2
19,1996,126
20,1996,124.4
21,1996,122.6
22,1996,121.1
23,1996,119.3
24,1996,117.9
25,1996,117
26,1996,116.8
27,1996,116.8
28,1996,117.3
