year,month,day,WSPD,WVHT,DPD,ATMP
1994,1,1,4.70923913,0.88,8.62,8.690851449
1994,1,2,8.2,2.063636364,7.236363636,13.20833333
1994,1,3,9.070833333,1.971428571,7.395238095,11.2625
1994,1,4,14.14583333,3.742857143,8.904761905,11.58333333
1994,1,5,9.335416667,2.066666667,8.058333333,6.389583333
1994,1,6,4.36875,1.245454545,7.463636364,9.635416667
1994,1,7,7.275815217,1.378571429,6.207142857,15.08949275
1994,1,8,9.454166667,2.071428571,6.89047619,14.47291667
1994,1,9,9.7,2.066666667,7.191666667,3.027083333
1994,1,10,10.29166667,2.204166667,7.520833333,2.335416667
1994,1,11,6.922916667,1.5,8.695652174,10.53125
1994,1,12,9.902083333,2.2,7.091666667,16.00625
1994,1,13,5.758333333,1.818181818,8.75,8.75625
1994,1,14,7.895833333,1.353846154,7.576923077,7.352083333
1994,1,15,11.18541667,2.486956522,7.443478261,2.077083333
1994,1,16,10.01458333,2.025,7.483333333,-6.702083333
1994,1,17,10.35625,1.852380952,7.323809524,8.183333333
1994,1,18,9.048460145,3.210526316,9.331578947,9.802083333
1994,1,19,11.26666667,2.530769231,8.192307692,-5.4625
1994,1,20,7.466666667,1.330434783,8.27826087,-3.697916667
1994,1,21,10.04583333,2.052173913,5.991304348,-1.422916667
1994,1,22,6.664583333,1.242857143,7.433333333,1.652083333
1994,1,23,2.572916667,0.7625,8.5375,8.595833333
1994,1,24,7.389583333,0.93125,6.09375,10.6
1994,1,25,4.195652174,0.655,9.36,11.3826087
1994,1,26,5.852083333,0.758823529,9.347058824,11.54166667
1994,1,27,10.83958333,3.127272727,10.39090909,10.25416667
1994,1,28,14.27916667,3.588888889,9.022222222,18.275
1994,1,29,8.245833333,2.370588235,8.782352941,15.8125
1994,1,30,9.264583333,1.764285714,8.064285714,9.8875
1994,1,31,10.57708333,2.99047619,7.885714286,5.4125
1994,2,1,4.15,1.745833333,9.795833333,3.99375
1994,2,2,5.43125,1.310526316,9.173684211,6.0625
1994,2,3,7.316666667,1.735,9.245,4.275
1994,2,4,4.939583333,0.847619048,7.480952381,10.3375
1994,2,5,7.029166667,0.95,6.578571429,13.30208333
1994,2,6,4.7,0.82,7.32,11.78284314
1994,2,7,4.589583333,0.817391304,8.547826087,11.20416667
1994,2,8,5.858333333,1.036363636,7.240909091,14.64791667
1994,2,9,13.43958333,2.866666667,6.9,17.83333333
1994,2,10,13.19166667,3.0625,7.525,7.560416667
1994,2,11,7.579166667,2.266666667,8.211111111,9.645833333
1994,2,12,8.827083333,1.961111111,7.938888889,5.541666667
1994,2,13,6.075,1.627272727,10.12727273,4.891666667
1994,2,14,7.68125,1.519047619,9.00952381,6.46875
1994,2,15,5.822916667,1.105263158,8.942105263,10.10208333
1994,2,16,8.402083333,1.323076923,5.392307692,11.4875
1994,2,17,7.597916667,1.3375,7.7125,10.75208333
1994,2,18,5.347916667,0.984210526,7.794736842,12.86666667
1994,2,19,6.981818182,1.923809524,8.428571429,16.53409091
1994,2,20,6.760416667,2.655,9.92,17.63958333
1994,2,21,4.369565217,2.280952381,10.62857143,17.37391304
1994,2,22,9.438235294,2.233333333,9.8,11.59411765
1994,2,23,10.74166667,2.342857143,8.885714286,17.57916667
1994,2,24,11.12916667,3.0375,8.4,18.125
1994,2,25,5.852083333,1.576190476,8.261904762,10.04791667
1994,2,26,10.7375,1.964705882,6.635294118,13.17083333
1994,2,27,10.5125,2.391304348,7.952173913,2.09375
1994,2,28,6.61875,1.773913043,7.87826087,2.402083333
1994,3,1,5.291666667,1.21,7.81,9.43125
1994,3,2,14.2375,5.416666667,9.5,15.475
1994,3,3,12.73541667,4.575,11.975,8.833333333
1994,3,4,10.54375,2.526086957,8.913043478,9.33125
1994,3,5,6.327083333,1.665217391,8.217391304,10.3625
1994,3,6,6.554166667,1.386956522,8.02173913,11.0125
1994,3,7,6.846590909,1.211764706,5.964705882,15.9827381
1994,3,8,9.147916667,1.627777778,5.661111111,18.67608696
1994,3,9,8.025,1.671428571,6.342857143,14.8625
1994,3,10,11.56041667,2.642105263,7.131578947,18.9125
1994,3,11,11.2125,2.613636364,7.659090909,8.3625
1994,3,12,7.9125,2.009090909,8.568181818,6.664583333
1994,3,13,4.320833333,1.5625,9.883333333,11.05208333
1994,3,14,7.675,1.535294118,7.988235294,12.54791667
1994,3,15,6.41875,1.608695652,8.726086957,13.63333333
1994,3,16,8.929166667,1.8,6.804545455,13.575
1994,3,17,10.5625,2.219047619,7.49047619,5.547916667
1994,3,18,8.385416667,1.668181818,8.113636364,12.1125
1994,3,19,8.574547101,2.354166667,7.945833333,11.80625
1994,3,20,4.15625,1.147619048,8.576190476,12.64166667
1994,3,21,5.293115942,1.20952381,8.119047619,15.41376812
1994,3,22,9.5625,2.157142857,6.364285714,15.64166667
1994,3,23,5.339492754,0.925,7.335,15.07880435
1994,3,24,7.69375,0.947619048,5.119047619,18.20208333
1994,3,25,8.864583333,1.564285714,5.957142857,18.44791667
1994,3,26,9.066666667,1.88,6.29,10.22708333
1994,3,27,10.42708333,1.928571429,7.157142857,17.075
1994,3,28,12.57083333,2.475,7.25,21.38125
1994,3,29,7.370833333,1.417647059,7.4,15.47083333
1994,3,30,4.852083333,1.071428571,7.252380952,11.625
1994,3,31,7.020833333,1.5,6.847368421,15.05416667
1994,4,1,7.604166667,1.557894737,6.731578947,12.05416667
1994,4,2,3.1375,1.3375,8.945833333,14.40833333
1994,4,3,4.90625,0.909090909,8.063636364,16.76041667
1994,4,4,7.183333333,1.405,5.905,16.13125
