DATE,NGDPRSAXDCCAQ,,,,https://fred.stlouisfed.org/series/NGDPRSAXDCCAQ
1/1/1961,85892.8,,,,
4/1/1961,88065.3,,,,
7/1/1961,90187,,,,
10/1/1961,91446.8,,,,
1/1/1962,93870.3,,,,
4/1/1962,94561,,,,
7/1/1962,95806.3,,,,
10/1/1962,97758.3,,,,
1/1/1963,98351.8,,,,
4/1/1963,99790,,,,
7/1/1963,100566.3,,,,
10/1/1963,103722.8,,,,
1/1/1964,106295.8,,,,
4/1/1964,106687.5,,,,
7/1/1964,107799.3,,,,
10/1/1964,108381.3,,,,
1/1/1965,111793,,,,
4/1/1965,112864,,,,
7/1/1965,114401,,,,
10/1/1965,117214.8,,,,
1/1/1966,119458.5,,,,
4/1/1966,121991,,,,
7/1/1966,121961.8,,,,
10/1/1966,123453.8,,,,
1/1/1967,123182.3,,,,
4/1/1967,125774.3,,,,
7/1/1967,126224.3,,,,
10/1/1967,126735,,,,
1/1/1968,127785.8,,,,
4/1/1968,131258.5,,,,
7/1/1968,133053.8,,,,
10/1/1968,134891,,,,
1/1/1969,136655.5,,,,
4/1/1969,137329,,,,
7/1/1969,138803.5,,,,
10/1/1969,140790.3,,,,
1/1/1970,141700,,,,
4/1/1970,141694.3,,,,
7/1/1970,143157.3,,,,
10/1/1970,143412.5,,,,
1/1/1971,142589.8,,,,
4/1/1971,146725.8,,,,
7/1/1971,150805.3,,,,
10/1/1971,152472.8,,,,
1/1/1972,151940,,,,
4/1/1972,156240,,,,
7/1/1972,156675.5,,,,
10/1/1972,160387.8,,,,
1/1/1973,164576,,,,
4/1/1973,166361,,,,
7/1/1973,166963.3,,,,
10/1/1973,170083.5,,,,
1/1/1974,171344.5,,,,
4/1/1974,173219.5,,,,
7/1/1974,173067.3,,,,
10/1/1974,172264.5,,,,
1/1/1975,171182,,,,
4/1/1975,173406.8,,,,
7/1/1975,176663.3,,,,
10/1/1975,178724,,,,
1/1/1976,181821,,,,
4/1/1976,185755.3,,,,
7/1/1976,186582.5,,,,
10/1/1976,186967,,,,
1/1/1977,189625.8,,,,
4/1/1977,190644.5,,,,
7/1/1977,191653,,,,
10/1/1977,194683.3,,,,
1/1/1978,196320.3,,,,
4/1/1978,197667,,,,
7/1/1978,199553.8,,,,
10/1/1978,201303.8,,,,
1/1/1979,202978.5,,,,
4/1/1979,205712.8,,,,
7/1/1979,207136.3,,,,
10/1/1979,208515,,,,
1/1/1980,209975,,,,
4/1/1980,209908.3,,,,
7/1/1980,209667.3,,,,
10/1/1980,212561,,,,
1/1/1981,217245.8,,,,
4/1/1981,219687.5,,,,
7/1/1981,217715.3,,,,
10/1/1981,216718.5,,,,
1/1/1982,214169,,,,
4/1/1982,211690.8,,,,
7/1/1982,209835.3,,,,
10/1/1982,207899.3,,,,
1/1/1983,211377,,,,
4/1/1983,215531.5,,,,
7/1/1983,217942,,,,
