year,GDP_Grwoth_Rate,Inflation_Rate,Unemployment_Rate,GDP,Government Budget,Government Debt,Medical Doctors,Tip1_GDP_Grwoth_Rate,Tip2_GDP_Growth_Yearly,Tip3_GDP_Growth_Annualy,Tip4_GDP_Growth_AVGAnnualy,Unnamed: 12,Unemployment_Rate_GrowthRate,GDP_Growth_Yearly,Medical_Doctors_Growth_Yearly,Unnamed: 16,Unnamed: 17,Unnamed: 18,disc_gdp,disc_une,disc_inf,InflationRate_wb,InflationRateLag_wb,InflationRateLag2_wb,IncInflationRate_wb,IncInflationRateLag_wb,IncInflationRateLag2_wb,UneRate_wb,UneRateLag_wb,UneRateLag2_wb,IncUneRate_wb,IncUneRateLag_wb,IncUneRateLag2_wb,RealGDP_wb,GrowthRealGDP_wb,disc_InfInc,disc_InfIncLag,disc_InfIncLag2,disc_UneInc,disc_UneIncLag,disc_UneIncLag2,disc_RealGdpGrowth
1970,0.209771574,3.240697065,5.834724771,87.9,-1.1,19.277,1.43,1,1,1,1,-0.156907775,0.06779772,0.129351536,0.048951049,0,0,0,1,0,0,3.346,2.7049,4.988,-0.267192291,-0.191336064,0.844060779,5.674999999,6.2,6.233333333,0.282485876,0.092511013,0.005376344,569964,0.0296,0,0,1,0,0,0,1
1971,1.698413706,2.732206499,6.23030581,99.27,-1.8,20.293,1.5,1,1,1,1,0.807214586,0.002012458,0.139115543,0.033333333,1,0,0,1,0,1,2.7049,4.988,7.4876,-0.191601913,0.844060779,0.501122694,6.2,6.233333333,5.566666666,0.092511013,0.005376344,-0.106951872,592593.5,0.039703385,0,1,1,0,0,1,1
1972,1.878743655,4.937683438,6.242844037,113.08,-1.7,22.079,1.55,1,1,1,1,0.512456083,-0.106245193,0.161301733,0.032258065,1,1,0,1,1,1,4.988,7.4876,10.9972,0.844060779,0.501122694,0.46872162,6.233333333,5.566666666,5.333333332,0.005376344,-0.106951872,-0.041916168,625243.3,0.055096453,1,1,1,0,1,1,1
1973,1.218147208,7.46802935,5.579571865,131.32,-1.7,23.98,1.6,1,1,1,1,0.467436311,-0.035055795,0.221519951,0.01875,1,1,0,1,1,1,7.4876,10.9972,10.6722,0.501122694,0.46872162,-0.029552977,5.566666666,5.333333332,6.916666666,-0.106951872,-0.041916168,0.296875,667983.8,0.06835819,1,1,0,1,1,0,1
1974,0.149048223,10.95885744,5.383975535,160.41,-1.4,26.191,1.63,1,1,1,1,-0.027803151,0.286675831,0.08366062,0.036809816,0,0,0,1,0,0,10.9972,10.6722,7.5417,0.46872162,-0.029552977,-0.293332209,5.333333332,6.916666666,7.083333333,-0.041916168,0.296875,0.024096386,689895.8,0.032803191,1,0,0,1,0,0,1
1975,1.302791878,10.65416667,6.927431193,173.83,-3.6,28.416,1.69,1,1,0,1,-0.294600099,0.024886658,0.188402462,0.01183432,0,0,0,1,0,0,10.6722,7.5417,7.9764,-0.029552977,-0.293332209,0.057639524,6.916666666,7.083333333,8.058333333,0.296875,0.024096386,0.137647059,699976,0.014611192,0,0,1,0,0,0,1
1976,1.118781726,7.515448113,7.099831804,206.58,-3.4,34.62,1.71,1,1,1,1,0.056382817,0.136157767,0.024348921,0.023391813,1,0,0,1,0,1,7.5417,7.9764,8.9737,-0.293332209,0.057639524,0.125031342,7.083333333,8.058333333,8.383333333,0.024096386,0.137647059,0.04033092,741125.8,0.058787444,0,1,1,0,0,0,1
1977,0.938451777,7.939190252,8.066529052,211.61,-4.9,41.517,1.75,1,1,1,1,0.126698453,0.038003909,0.033174236,0.011428571,1,0,0,1,0,1,7.9764,8.9737,9.1447,0.057639524,0.125031342,0.019055685,8.058333333,8.383333333,7.55,0.137647059,0.04033092,-0.099403578,766606.5,0.034381073,1,1,1,0,0,1,1
1978,0.829885787,8.945073375,8.373088685,218.63,-5.3,52.396,1.77,1,1,1,1,0.015790522,-0.103922571,0.111787037,0.005649718,1,1,0,1,1,1,8.9737,9.1447,10.1292,0.125031342,0.019055685,0.107657988,8.383333333,7.55,7.55,0.04033092,-0.099403578,0,794844.8,0.036835456,1,1,1,0,1,1,1
1979,0.863007614,9.086320755,7.50293578,243.07,-4.3,65.425,1.78,1,1,1,1,0.107260897,0.001671109,0.126630189,0.011235955,1,0,0,1,0,1,9.1447,10.1292,12.4716,0.019055685,0.107657988,0.231252221,7.55,7.55,7.633333333,-0.099403578,0,0.011037528,824342.5,0.03711127,1,1,1,1,1,0,1
1980,0.645875635,10.06092767,7.515474006,273.85,-4.6,77.392,1.8,1,1,1,1,0.234655207,0.011511418,0.11816688,0.016666667,1,0,0,1,0,1,10.1292,12.4716,10.769,0.107657988,0.231252221,-0.136518169,7.55,7.633333333,11.03333333,0,0.011037528,0.445414847,842111.5,0.021555361,1,1,0,1,0,0,1
1981,0.136167513,12.42177673,7.601987768,306.21,-4.3,91.948,1.83,1,1,1,1,-0.127679504,0.45587626,0.023839848,0.032786885,0,0,0,1,0,0,12.4716,10.769,5.8636,0.231252221,-0.136518169,-0.45551119,7.633333333,11.03333333,12.03333333,0.011037528,0.445414847,0.090634441,871367,0.034740649,1,0,0,0,0,0,1
1982,-0.85748731,10.83577044,11.06755352,313.51,-7.5,107.622,1.89,0,1,0,0,-0.455862614,0.084173093,0.086249242,0.015873016,0,0,0,0,0,0,10.769,5.8636,4.3048,-0.136518169,-0.45551119,-0.265843509,11.03333333,12.03333333,11.35,0.445414847,0.090634441,-0.056786703,843594.3,-0.031872563,0,0,0,0,0,1,0
1983,1.551205584,5.896147799,11.99914373,340.55,-7.7,136.671,1.92,1,1,0,1,-0.271043614,-0.050051992,0.043517839,0.015625,0,1,0,1,1,0,5.8636,4.3048,3.962,-0.45551119,-0.265843509,-0.079632039,12.03333333,11.35,10.51666667,0.090634441,-0.056786703,-0.073421439,865539,0.026013334,0,0,0,0,1,1,1
