time,totalcity_aw,totalcity_bk,totalcity_harv,totalcity_mcd,totalcity_wend,lagtotalcity_aw,lagtotalcity_bk,lagtotalcity_harv,lagtotalcity_mcd,lagtotalcity_wend,totalcity_population,totalcity_income,totalcity_value,change_aw,change_bk,change_harv,change_mcd,change_wend,cityid,timeindex,lagtotalcity2_aw,lagtotalcity2_bk,lagtotalcity2_harv,lagtotalcity2_mcd,lagtotalcity2_wend,lagtotal_aw,lagtotal_bk,lagtotal_harv,lagtotal_mcd,lagtotal_wend,lagtotal2_aw,lagtotal2_bk,lagtotal2_harv,lagtotal2_mcd,lagtotal2_wend
1970,0,0,0,0,0,,,,,,78.85326,270.6569,1.050979,,,,,,16,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,38.27588,161.9197,0.3826943,,,,,,14,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,376.4767,1556.06,10.76667,,,,,,28,1,,,,,,,,,,,,,,,
1970,0,0,1,0,0,,,,,,51.0535,265.1175,1.033385,,,,,,8,1,,,,,,,,,,,,,,,
1970,3,0,0,0,0,,,,,,203.6813,756.829,3.256452,,,,,,5,1,,,,,,,,,,,,,,,
1970,3,0,0,0,0,,,,,,72.4531,177.1581,0.4582608,,,,,,23,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,38.6025,122.6506,0.3116381,,,,,,25,1,,,,,,,,,,,,,,,
1970,0,0,0,2,0,,,,,,71.09253,265.0377,0.852701,,,,,,13,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,24.58905,60.7475,0.3085745,,,,,,1,1,,,,,,,,,,,,,,,
1970,1,0,0,0,0,,,,,,55.73457,233.0607,1.48303,,,,,,29,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,22.57433,78.2149,0.3440043,,,,,,19,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,121.0359,310.1524,1.756593,,,,,,3,1,,,,,,,,,,,,,,,
1970,0,0,0,3,0,,,,,,71.8466,252.9727,0.581278,,,,,,21,1,,,,,,,,,,,,,,,
1970,0,0,1,0,0,,,,,,140.7678,566.8777,1.467585,,,,,,20,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,26.4443,101.4718,0.315752,,,,,,22,1,,,,,,,,,,,,,,,
1970,1,0,1,3,0,,,,,,151.3713,500.7906,1.42064,,,,,,31,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,23.22093,66.61603,0.3194473,,,,,,7,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,20.01452,57.35903,0.1202183,,,,,,26,1,,,,,,,,,,,,,,,
1970,0,0,0,2,0,,,,,,54.83847,237.8414,0.6952223,,,,,,30,1,,,,,,,,,,,,,,,
1970,0,0,0,1,0,,,,,,247.4621,1165.743,4.601358,,,,,,18,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,37.6148,117.9151,0.4603652,,,,,,4,1,,,,,,,,,,,,,,,
1970,1,0,0,1,0,,,,,,35.9211,92.24413,0.409399,,,,,,17,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,24.10303,98.92973,0.5558993,,,,,,10,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,47.4943,157.5725,0.6164735,,,,,,11,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,52.06895,202.1325,0.563081,,,,,,24,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,32.89911,61.25003,0.3117441,,,,,,2,1,,,,,,,,,,,,,,,
1970,2,0,1,6,0,,,,,,1067.988,4149.159,26.95,,,,,,27,1,,,,,,,,,,,,,,,
1970,2,0,0,0,0,,,,,,538.0757,1864.009,10.36667,,,,,,15,1,,,,,,,,,,,,,,,
1970,0,0,0,0,0,,,,,,212.895,965.6127,3.310059,,,,,,6,1,,,,,,,,,,,,,,,
1970,1,0,0,0,0,,,,,,89.538,388.3084,1.656445,,,,,,12,1,,,,,,,,,,,,,,,
1970,0,0,0,1,0,,,,,,156.3986,559.4565,2.627348,,,,,,9,1,,,,,,,,,,,,,,,
1971,0,0,0,1,0,0,0,0,0,0,49.55201,91.91785,0.4623531,0,0,0,1,0,2,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,3,0,0,0,0,3,0,0,0,0,48.35823,118.2138,0.3058279,0,0,0,0,0,23,2,9,0,0,0,0,11,0,4,19,0,121,0,16,361,0
1971,0,0,0,2,0,0,0,0,2,0,71.3516,265.2433,0.8511503,0,0,0,0,0,13,2,0,0,0,4,0,14,0,4,17,0,196,0,16,289,0
1971,0,0,0,0,0,0,0,0,0,0,20.02439,57.3931,0.1203585,0,0,0,0,0,26,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,0,0,0,0,0,0,0,0,22.65511,78.26603,0.3408207,0,0,0,0,0,19,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,1,0,0,1,0,1,0,0,0,0,55.9859,233.3079,1.484285,0,0,0,1,0,29,2,1,0,0,0,0,13,0,4,19,0,169,0,16,361,0
1971,0,0,0,0,0,0,0,0,0,0,31.7494,105.1173,0.4094456,0,0,0,0,0,11,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,0,3,0,0,0,0,2,0,54.8248,238.1089,0.694811,0,0,0,1,0,30,2,0,0,0,4,0,14,0,4,17,0,196,0,16,289,0
1971,0,0,0,0,0,0,0,0,0,0,38.26913,122.6784,0.311775,0,0,0,0,0,25,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,0,0,0,0,0,0,0,0,25.10981,78.6811,0.3057738,0,0,0,0,0,4,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,13,0,0,9,0,0,0,0,0,0,388.7523,1574.605,10.86667,13,0,0,9,0,28,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,2,0,0,1,0,1,0,0,1,0,47.41186,112.537,0.485113,1,0,0,0,0,17,2,1,0,0,1,0,13,0,4,18,0,169,0,16,324,0
1971,1,0,0,0,0,1,0,0,0,0,59.82664,259.0675,1.096131,0,0,0,0,0,12,2,1,0,0,0,0,13,0,4,19,0,169,0,16,361,0
1971,0,0,1,0,0,0,0,1,0,0,51.09514,265.2367,1.03216,0,0,0,0,0,8,2,0,0,1,0,0,14,0,3,19,0,196,0,9,361,0
1971,3,0,0,1,0,3,0,0,0,0,204.1081,757.354,3.257955,0,0,0,1,0,5,2,9,0,0,0,0,11,0,4,19,0,121,0,16,361,0
1971,0,0,0,3,0,0,0,0,1,0,165.2742,777.492,3.061585,0,0,0,2,0,18,2,0,0,0,1,0,14,0,4,18,0,196,0,16,324,0
1971,0,0,0,0,0,0,0,0,0,0,23.28843,66.66257,0.3167228,0,0,0,0,0,7,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,0,0,0,0,0,0,0,0,78.92924,270.8747,1.04519,0,0,0,0,0,16,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,1,0,0,0,0,1,0,0,140.7229,567.3107,1.468024,0,0,0,0,0,20,2,0,0,1,0,0,14,0,3,19,0,196,0,9,361,0
1971,2,0,1,5,0,1,0,1,3,0,151.2348,501.11,1.419676,1,0,0,2,0,31,2,1,0,1,9,0,13,0,3,16,0,169,0,9,256,0
1971,0,0,0,0,0,0,0,0,0,0,34.65437,134.7966,0.3754286,0,0,0,0,0,24,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,2,0,0,0,0,2,0,0,0,0,537.8953,1863.943,10.33333,0,0,0,0,0,15,2,4,0,0,0,0,12,0,4,19,0,144,0,16,361,0
1971,0,0,0,0,0,0,0,0,0,0,25.57872,108.0262,0.255391,0,0,0,0,0,14,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,0,0,0,0,0,0,0,0,26.3899,101.4211,0.3159851,0,0,0,0,0,22,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,1,0,0,1,0,0,0,0,1,0,104.2296,373.2713,1.736449,1,0,0,0,0,9,2,0,0,0,1,0,14,0,4,18,0,196,0,16,324,0
1971,0,0,0,0,0,0,0,0,0,0,13.76862,42.23824,0.2120211,0,0,0,0,0,1,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,2,3,1,6,0,2,0,1,6,0,701.611,2741.36,17.6,0,3,0,0,0,27,2,4,0,1,36,0,12,0,3,13,0,144,0,9,169,0
1971,0,0,0,0,0,0,0,0,0,0,24.20761,98.96977,0.556456,0,0,0,0,0,10,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,0,0,0,0,0,0,0,0,80.90897,206.7658,1.157082,0,0,0,0,0,3,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1971,0,0,0,3,0,0,0,0,3,0,47.81383,168.7548,0.3878036,0,0,0,0,0,21,2,0,0,0,9,0,14,0,4,16,0,196,0,16,256,0
1971,1,1,0,0,0,0,0,0,0,0,213.3372,965.6133,3.31144,1,1,0,0,0,6,2,0,0,0,0,0,14,0,4,19,0,196,0,16,361,0
1972,0,0,0,3,0,0,0,0,3,0,165.5852,777.8283,3.055703,0,0,0,0,0,18,3,0,0,0,9,0,31,4,4,33,0,961,16,16,1089,0
1972,1,0,0,0,0,0,0,0,0,0,24.31663,99.01086,0.5570367,1,0,0,0,0,10,3,0,0,0,0,0,31,4,4,36,0,961,16,16,1296,0
1972,0,0,0,3,0,0,0,0,3,0,47.73227,168.8634,0.3880967,0,0,0,0,0,21,3,0,0,0,9,0,31,4,4,33,0,961,16,16,1089,0
1972,1,0,0,2,0,1,0,0,1,0,104.1977,373.5767,1.721858,0,0,0,1,0,9,3,1,0,0,1,0,30,4,4,35,0,900,16,16,1225,0
1972,0,0,0,0,0,0,0,0,0,0,81.13734,206.7651,1.143689,0,0,0,0,0,3,3,0,0,0,0,0,31,4,4,36,0,961,16,16,1296,0
1972,1,0,0,0,0,0,0,0,0,0,24.81898,60.84086,0.3091178,1,0,0,0,0,1,3,0,0,0,0,0,31,4,4,36,0,961,16,16,1296,0
1972,0,0,0,0,0,0,0,0,0,0,23.35768,66.7096,0.3140854,0,0,0,0,0,7,3,0,0,0,0,0,31,4,4,36,0,961,16,16,1296,0
