DATE,NGDPRXDCCAA
1961-01-01,355591.8
1962-01-01,381995.8
1963-01-01,402430.8
1964-01-01,429163.8
1965-01-01,456272.8
1966-01-01,486865.0
1967-01-01,501915.8
1968-01-01,526989.0
1969-01-01,553578.3
1970-01-01,569964.0
1971-01-01,592593.5
1972-01-01,625243.3
1973-01-01,667983.8
1974-01-01,689895.8
1975-01-01,699976.0
1976-01-01,741125.8
1977-01-01,766606.5
1978-01-01,794844.8
1979-01-01,824342.5
1980-01-01,842111.5
1981-01-01,871367.0
1982-01-01,843594.3
1983-01-01,865539.0
1984-01-01,916679.0
1985-01-01,960105.8
1986-01-01,980699.8
1987-01-01,1020643.3
1988-01-01,1065654.8
1989-01-01,1090345.8
1990-01-01,1092141.3
1991-01-01,1069358.3
1992-01-01,1078985.3
1993-01-01,1107695.5
1994-01-01,1157480.5
1995-01-01,1188662.8
1996-01-01,1207909.3
1997-01-01,1259608.3
1998-01-01,1308684.5
1999-01-01,1376250.8
2000-01-01,1447508.0
2001-01-01,1473418.0
2002-01-01,1517886.5
2003-01-01,1545231.5
2004-01-01,1592932.5
2005-01-01,1643973.3
2006-01-01,1687280.5
2007-01-01,1722238.0
2008-01-01,1739534.3
2009-01-01,1688636.3
2010-01-01,1740813.8
2011-01-01,1795581.5
2012-01-01,1827201.0
2013-01-01,1869758.8
2014-01-01,1923421.5
2015-01-01,1936100.3
2016-01-01,1955488.3
2017-01-01,2014932.8
2018-01-01,2063886.5
2019-01-01,2102304.0
2020-01-01,1990609.75
