DATE,LRUNTTTTCAA156S,
1/1/1960,6.991666667,
1/1/1961,7.183333333,0.191666666
1/1/1962,5.958333333,-1.225
1/1/1963,5.583333333,-0.375
1/1/1964,4.708333333,-0.875
1/1/1965,3.95,-0.758333333
1/1/1966,3.374999999,-0.575000001
1/1/1967,3.833333332,0.458333333
1/1/1968,4.524999999,0.691666667
1/1/1969,4.424999999,-0.1
1/1/1970,5.674999999,1.25
1/1/1971,6.2,0.525000001
1/1/1972,6.233333333,0.033333333
1/1/1973,5.566666666,-0.666666667
1/1/1974,5.333333332,-0.233333334
1/1/1975,6.916666666,1.583333334
1/1/1976,7.083333333,0.166666667
1/1/1977,8.058333333,0.975
1/1/1978,8.383333333,0.325
1/1/1979,7.55,-0.833333333
1/1/1980,7.55,0
1/1/1981,7.633333333,0.083333333
1/1/1982,11.03333333,3.399999997
1/1/1983,12.03333333,1
1/1/1984,11.35,-0.68333333
1/1/1985,10.51666667,-0.83333333
1/1/1986,9.6,-0.91666667
1/1/1987,8.833333333,-0.766666667
1/1/1988,7.766666667,-1.066666666
1/1/1989,7.566666667,-0.2
1/1/1990,8.15,0.583333333
1/1/1991,10.325,2.175
1/1/1992,11.19166667,0.86666667
1/1/1993,11.4,0.20833333
1/1/1994,10.41666667,-0.98333333
1/1/1995,9.508333333,-0.908333337
1/1/1996,9.608333333,0.1
1/1/1997,9.116666667,-0.491666666
1/1/1998,8.283333333,-0.833333334
1/1/1999,7.591666667,-0.691666666
1/1/2000,6.816666667,-0.775
1/1/2001,7.216666667,0.4
1/1/2002,7.675,0.458333333
1/1/2003,7.575,-0.1
1/1/2004,7.191666667,-0.383333333
1/1/2005,6.758333333,-0.433333334
1/1/2006,6.35,-0.408333333
1/1/2007,6.066666667,-0.283333333
1/1/2008,6.175,0.108333333
1/1/2009,8.375,2.2
1/1/2010,8.116666667,-0.258333333
1/1/2011,7.558333333,-0.558333334
1/1/2012,7.333333333,-0.225
1/1/2013,7.125,-0.208333333
1/1/2014,6.941666667,-0.183333333
1/1/2015,6.941666667,0
1/1/2016,7.05,0.108333333
1/1/2017,6.4,-0.65
1/1/2018,5.891666667,-0.508333333
1/1/2019,5.733333333,-0.158333334
1/1/2020,9.558333333,3.825
1/1/2021,7.466666667,-2.091666666
